#abgabe.csv
#Jakob
#Plangger
#12418810
group,number,duration,size
Maximumsuche,1,10800,0
Maximumsuche,2,2800,1
Maximumsuche,3,2600,2
Maximumsuche,4,4100,3
Maximumsuche,5,1600,4
Maximumsuche,6,1700,5
Maximumsuche,7,3000,6
Maximumsuche,8,3000,7
Maximumsuche,9,3700,8
Maximumsuche,10,3400,9
Maximumsuche,11,2600,10
Maximumsuche,12,3700,11
Maximumsuche,13,2800,12
Maximumsuche,14,4800,13
Maximumsuche,15,3800,14
Maximumsuche,16,3900,15
Maximumsuche,17,2600,16
Maximumsuche,18,3000,17
Maximumsuche,19,4900,18
Maximumsuche,20,3200,19
Maximumsuche,21,3300,20
Maximumsuche,22,2400,21
Maximumsuche,23,2200,22
Maximumsuche,24,2900,23
Maximumsuche,25,5500,24
Maximumsuche,26,4900,25
Maximumsuche,27,4900,26
Maximumsuche,28,5100,27
Maximumsuche,29,4100,28
Maximumsuche,30,5700,29
Maximumsuche,31,4300,30
Maximumsuche,32,3500,31
Maximumsuche,33,3900,32
Maximumsuche,34,3800,33
Maximumsuche,35,2600,34
Maximumsuche,36,2400,35
Maximumsuche,37,2400,36
Maximumsuche,38,2400,37
Maximumsuche,39,3600,38
Maximumsuche,40,9000,39
Maximumsuche,41,4000,40
Maximumsuche,42,4600,41
Maximumsuche,43,6200,42
Maximumsuche,44,4800,43
Maximumsuche,45,3600,44
Maximumsuche,46,6100,45
Maximumsuche,47,4300,46
Maximumsuche,48,3900,47
Maximumsuche,49,3700,48
Maximumsuche,50,3500,49
Maximumsuche,51,4400,50
Maximumsuche,52,4100,51
Maximumsuche,53,4500,52
Maximumsuche,54,4900,53
Maximumsuche,55,3000,54
Maximumsuche,56,2900,55
Maximumsuche,57,3100,56
Maximumsuche,58,3100,57
Maximumsuche,59,3000,58
Maximumsuche,60,60300,59
Maximumsuche,61,3300,60
Maximumsuche,62,3600,61
Maximumsuche,63,3300,62
Maximumsuche,64,3300,63
Maximumsuche,65,4800,64
Maximumsuche,66,3200,65
Maximumsuche,67,3300,66
Maximumsuche,68,3200,67
Maximumsuche,69,3100,68
Maximumsuche,70,3200,69
Maximumsuche,71,3400,70
Maximumsuche,72,3200,71
Maximumsuche,73,3600,72
Maximumsuche,74,3300,73
Maximumsuche,75,3600,74
Maximumsuche,76,3400,75
Maximumsuche,77,3400,76
Maximumsuche,78,3600,77
Maximumsuche,79,5300,78
Maximumsuche,80,3400,79
Maximumsuche,81,3400,80
Maximumsuche,82,3600,81
Maximumsuche,83,3800,82
Maximumsuche,84,3600,83
Maximumsuche,85,3700,84
Maximumsuche,86,3900,85
Maximumsuche,87,3500,86
Maximumsuche,88,3800,87
Maximumsuche,89,4500,88
Maximumsuche,90,5900,89
Maximumsuche,91,7500,90
Maximumsuche,92,10800,91
Maximumsuche,93,9100,92
Maximumsuche,94,5300,93
Maximumsuche,95,4300,94
Maximumsuche,96,4200,95
Maximumsuche,97,6000,96
Maximumsuche,98,6300,97
Maximumsuche,99,6900,98
Maximumsuche,100,8700,99
Maximumsuche,101,4400,100
Maximumsuche,102,9100,200
Maximumsuche,103,8800,300
Maximumsuche,104,11300,400
Maximumsuche,105,20000,500
Maximumsuche,106,25500,600
Maximumsuche,107,24900,700
Maximumsuche,108,202000,800
Maximumsuche,109,40300,900
Maximumsuche,110,44000,1000
Maximumsuche,111,41900,1100
Maximumsuche,112,50100,1200
Maximumsuche,113,34900,1300
Maximumsuche,114,36700,1400
Maximumsuche,115,39500,1500
Maximumsuche,116,43200,1600
Maximumsuche,117,44100,1700
Maximumsuche,118,45800,1800
Maximumsuche,119,49800,1900
Maximumsuche,120,51400,2000
Maximumsuche,121,53200,2100
Maximumsuche,122,70600,2200
Maximumsuche,123,62800,2300
Maximumsuche,124,71400,2400
Maximumsuche,125,62400,2500
Maximumsuche,126,66900,2600
Maximumsuche,127,68100,2700
Maximumsuche,128,74000,2800
Maximumsuche,129,72500,2900
Maximumsuche,130,74900,3000
Maximumsuche,131,77600,3100
Maximumsuche,132,83400,3200
Maximumsuche,133,82300,3300
Maximumsuche,134,84000,3400
Maximumsuche,135,87500,3500
Maximumsuche,136,91000,3600
Maximumsuche,137,96500,3700
Maximumsuche,138,95800,3800
Maximumsuche,139,141400,3900
Maximumsuche,140,150500,4000
Maximumsuche,141,173600,4100
Maximumsuche,142,156200,4200
Maximumsuche,143,177600,4300
Maximumsuche,144,341600,4400
Maximumsuche,145,46500,4500
Maximumsuche,146,106200,4600
Maximumsuche,147,41500,4700
Maximumsuche,148,38400,4800
Maximumsuche,149,46300,4900
Maximumsuche,150,49700,5000
Maximumsuche,151,36000,5100
Maximumsuche,152,93800,5200
Maximumsuche,153,27800,5300
Maximumsuche,154,36300,5400
Maximumsuche,155,29900,5500
Maximumsuche,156,28400,5600
Maximumsuche,157,31300,5700
Maximumsuche,158,39400,5800
Maximumsuche,159,43100,5900
Maximumsuche,160,33300,6000
Maximumsuche,161,42800,6100
Maximumsuche,162,44800,6200
Maximumsuche,163,46500,6300
Maximumsuche,164,32600,6400
Maximumsuche,165,37800,6500
Maximumsuche,166,44400,6600
Maximumsuche,167,42200,6700
Maximumsuche,168,406800,6800
Maximumsuche,169,45800,6900
Maximumsuche,170,249600,7000
Maximumsuche,171,49800,7100
Maximumsuche,172,399600,7200
Maximumsuche,173,171100,7300
Maximumsuche,174,20500,7400
Maximumsuche,175,14600,7500
Maximumsuche,176,9800,7600
Maximumsuche,177,7600,7700
Maximumsuche,178,7900,7800
Maximumsuche,179,11100,7900
Maximumsuche,180,8400,8000
Maximumsuche,181,9500,8100
Maximumsuche,182,14900,8200
Maximumsuche,183,10300,8300
Maximumsuche,184,7800,8400
Maximumsuche,185,8200,8500
Maximumsuche,186,10400,8600
Maximumsuche,187,8700,8700
Maximumsuche,188,18400,8800
Maximumsuche,189,10900,8900
Maximumsuche,190,12000,9000
Maximumsuche,191,7700,9100
Maximumsuche,192,8600,9200
Maximumsuche,193,9400,9300
Maximumsuche,194,8600,9400
Maximumsuche,195,7800,9500
Maximumsuche,196,8900,9600
Maximumsuche,197,8800,9700
Maximumsuche,198,7600,9800
Maximumsuche,199,6500,9900
Maximumsuche,200,5800,10000
Maximumsuche,201,5200,10100
Maximumsuche,202,8900,10200
Maximumsuche,203,12600,10300
Maximumsuche,204,9900,10400
Maximumsuche,205,38500,10500
Maximumsuche,206,8000,10600
Maximumsuche,207,5800,10700
Maximumsuche,208,6100,10800
Maximumsuche,209,11200,10900
Maximumsuche,210,7200,11000
Maximumsuche,211,8400,11100
Maximumsuche,212,10300,11200
Maximumsuche,213,16600,11300
Maximumsuche,214,24500,11400
Maximumsuche,215,18000,11500
Maximumsuche,216,16600,11600
Maximumsuche,217,15500,11700
Maximumsuche,218,12700,11800
Maximumsuche,219,11000,11900
Maximumsuche,220,11800,12000
Maximumsuche,221,17300,12100
Maximumsuche,222,17900,12200
Maximumsuche,223,15400,12300
Maximumsuche,224,11700,12400
Maximumsuche,225,45300,12500
Maximumsuche,226,19200,12600
Maximumsuche,227,15000,12700
Maximumsuche,228,20900,12800
Maximumsuche,229,18800,12900
