#find-max-only.csv
#Jakob
#Plangger
#12418810
group,number,duration,size
Maximumsuche,1,21300,0
Maximumsuche,2,2500,1
Maximumsuche,3,1900,2
Maximumsuche,4,1700,3
Maximumsuche,5,1800,4
Maximumsuche,6,1800,5
Maximumsuche,7,2100,6
Maximumsuche,8,2200,7
Maximumsuche,9,2200,8
Maximumsuche,10,2100,9
Maximumsuche,11,2100,10
Maximumsuche,12,2000,11
Maximumsuche,13,2200,12
Maximumsuche,14,2200,13
Maximumsuche,15,2100,14
Maximumsuche,16,2300,15
Maximumsuche,17,2400,16
Maximumsuche,18,2200,17
Maximumsuche,19,2500,18
Maximumsuche,20,2500,19
Maximumsuche,21,2400,20
Maximumsuche,22,2300,21
Maximumsuche,23,2500,22
Maximumsuche,24,2500,23
Maximumsuche,25,2600,24
Maximumsuche,26,2600,25
Maximumsuche,27,2500,26
Maximumsuche,28,3300,27
Maximumsuche,29,2700,28
Maximumsuche,30,2500,29
Maximumsuche,31,2700,30
Maximumsuche,32,3000,31
Maximumsuche,33,3900,32
Maximumsuche,34,4300,33
Maximumsuche,35,3500,34
Maximumsuche,36,5300,35
Maximumsuche,37,5900,36
Maximumsuche,38,5500,37
Maximumsuche,39,4500,38
Maximumsuche,40,4200,39
Maximumsuche,41,3700,40
Maximumsuche,42,3500,41
Maximumsuche,43,3100,42
Maximumsuche,44,3200,43
Maximumsuche,45,3000,44
Maximumsuche,46,6000,45
Maximumsuche,47,3300,46
Maximumsuche,48,3400,47
Maximumsuche,49,3500,48
Maximumsuche,50,3300,49
Maximumsuche,51,3400,50
Maximumsuche,52,3800,51
Maximumsuche,53,3700,52
Maximumsuche,54,3700,53
Maximumsuche,55,3900,54
Maximumsuche,56,3400,55
Maximumsuche,57,3700,56
Maximumsuche,58,3700,57
Maximumsuche,59,3600,58
Maximumsuche,60,3400,59
Maximumsuche,61,4000,60
Maximumsuche,62,4000,61
Maximumsuche,63,4000,62
Maximumsuche,64,4000,63
Maximumsuche,65,7600,64
Maximumsuche,66,2900,65
Maximumsuche,67,2800,66
Maximumsuche,68,2700,67
Maximumsuche,69,2800,68
Maximumsuche,70,2800,69
Maximumsuche,71,3700,70
Maximumsuche,72,4300,71
Maximumsuche,73,4200,72
Maximumsuche,74,4300,73
Maximumsuche,75,4100,74
Maximumsuche,76,4000,75
Maximumsuche,77,4300,76
Maximumsuche,78,4600,77
Maximumsuche,79,8900,78
Maximumsuche,80,7900,79
Maximumsuche,81,4400,80
Maximumsuche,82,4600,81
Maximumsuche,83,4400,82
Maximumsuche,84,4000,83
Maximumsuche,85,4300,84
Maximumsuche,86,4500,85
Maximumsuche,87,4500,86
Maximumsuche,88,4400,87
Maximumsuche,89,4600,88
Maximumsuche,90,4300,89
Maximumsuche,91,4800,90
Maximumsuche,92,8200,91
Maximumsuche,93,3300,92
Maximumsuche,94,3400,93
Maximumsuche,95,3400,94
Maximumsuche,96,3300,95
Maximumsuche,97,3300,96
Maximumsuche,98,4800,97
Maximumsuche,99,3300,98
Maximumsuche,100,4400,99
Maximumsuche,101,5200,100
Maximumsuche,102,27000,200
Maximumsuche,103,10800,300
Maximumsuche,104,13400,400
Maximumsuche,105,24100,500
Maximumsuche,106,7900,600
Maximumsuche,107,8200,700
Maximumsuche,108,5700,800
Maximumsuche,109,6300,900
Maximumsuche,110,6000,1000
Maximumsuche,111,7600,1100
Maximumsuche,112,7800,1200
Maximumsuche,113,10800,1300
Maximumsuche,114,9300,1400
Maximumsuche,115,9400,1500
Maximumsuche,116,10100,1600
Maximumsuche,117,9200,1700
Maximumsuche,118,14800,1800
Maximumsuche,119,11500,1900
Maximumsuche,120,11000,2000
Maximumsuche,121,12600,2100
Maximumsuche,122,17700,2200
Maximumsuche,123,13800,2300
Maximumsuche,124,13100,2400
Maximumsuche,125,15800,2500
Maximumsuche,126,18400,2600
Maximumsuche,127,15600,2700
Maximumsuche,128,16100,2800
Maximumsuche,129,23400,2900
Maximumsuche,130,17600,3000
Maximumsuche,131,27900,3100
Maximumsuche,132,18800,3200
Maximumsuche,133,19300,3300
Maximumsuche,134,24500,3400
Maximumsuche,135,15500,3500
Maximumsuche,136,18900,3600
Maximumsuche,137,16200,3700
Maximumsuche,138,18800,3800
Maximumsuche,139,16900,3900
Maximumsuche,140,20300,4000
Maximumsuche,141,27100,4100
Maximumsuche,142,21300,4200
Maximumsuche,143,27800,4300
Maximumsuche,144,27400,4400
Maximumsuche,145,25000,4500
Maximumsuche,146,28700,4600
Maximumsuche,147,20400,4700
Maximumsuche,148,22100,4800
Maximumsuche,149,21000,4900
Maximumsuche,150,23100,5000
Maximumsuche,151,23800,5100
Maximumsuche,152,22400,5200
Maximumsuche,153,24500,5300
Maximumsuche,154,25100,5400
Maximumsuche,155,23700,5500
Maximumsuche,156,25500,5600
Maximumsuche,157,26200,5700
Maximumsuche,158,41900,5800
Maximumsuche,159,26900,5900
Maximumsuche,160,27000,6000
Maximumsuche,161,27800,6100
Maximumsuche,162,44800,6200
Maximumsuche,163,28400,6300
Maximumsuche,164,28700,6400
Maximumsuche,165,29700,6500
Maximumsuche,166,28000,6600
Maximumsuche,167,30200,6700
Maximumsuche,168,29900,6800
Maximumsuche,169,31000,6900
Maximumsuche,170,31300,7000
Maximumsuche,171,100200,7100
Maximumsuche,172,47600,7200
Maximumsuche,173,43400,7300
Maximumsuche,174,46400,7400
Maximumsuche,175,47600,7500
Maximumsuche,176,46200,7600
Maximumsuche,177,47300,7700
Maximumsuche,178,47300,7800
Maximumsuche,179,47500,7900
Maximumsuche,180,39200,8000
Maximumsuche,181,47900,8100
Maximumsuche,182,43800,8200
Maximumsuche,183,45600,8300
Maximumsuche,184,46100,8400
Maximumsuche,185,44700,8500
Maximumsuche,186,48600,8600
Maximumsuche,187,53400,8700
Maximumsuche,188,38400,8800
Maximumsuche,189,51600,8900
Maximumsuche,190,48200,9000
Maximumsuche,191,52200,9100
Maximumsuche,192,53300,9200
Maximumsuche,193,52700,9300
Maximumsuche,194,56900,9400
Maximumsuche,195,52800,9500
Maximumsuche,196,50200,9600
Maximumsuche,197,51500,9700
Maximumsuche,198,51700,9800
Maximumsuche,199,62200,9900
Maximumsuche,200,46500,10000
Maximumsuche,201,61000,10100
Maximumsuche,202,61900,10200
Maximumsuche,203,61000,10300
Maximumsuche,204,59900,10400
Maximumsuche,205,61200,10500
Maximumsuche,206,70500,10600
Maximumsuche,207,229000,10700
Maximumsuche,208,138800,10800
Maximumsuche,209,178400,10900
Maximumsuche,210,144200,11000
Maximumsuche,211,125000,11100
Maximumsuche,212,124000,11200
Maximumsuche,213,146200,11300
Maximumsuche,214,245300,11400
Maximumsuche,215,225800,11500
Maximumsuche,216,323100,11600
Maximumsuche,217,138200,11700
Maximumsuche,218,282300,11800
Maximumsuche,219,140700,11900
Maximumsuche,220,128000,12000
Maximumsuche,221,16100,12100
Maximumsuche,222,6000,12200
Maximumsuche,223,8100,12300
Maximumsuche,224,7900,12400
Maximumsuche,225,8200,12500
Maximumsuche,226,7700,12600
Maximumsuche,227,8600,12700
Maximumsuche,228,7400,12800
Maximumsuche,229,8500,12900
Maximumsuche,230,7800,13000
Maximumsuche,231,7600,13100
Maximumsuche,232,8100,13200
Maximumsuche,233,8000,13300
Maximumsuche,234,8200,13400
Maximumsuche,235,7800,13500
Maximumsuche,236,7900,13600
Maximumsuche,237,7900,13700
Maximumsuche,238,9200,13800
Maximumsuche,239,9700,13900
Maximumsuche,240,9900,14000
Maximumsuche,241,10000,14100
Maximumsuche,242,10200,14200
Maximumsuche,243,9400,14300
Maximumsuche,244,9700,14400
Maximumsuche,245,8800,14500
Maximumsuche,246,10400,14600
Maximumsuche,247,8400,14700
Maximumsuche,248,10700,14800
Maximumsuche,249,7000,14900
Maximumsuche,250,11500,15000
Maximumsuche,251,9700,15100
