#abgabe.csv
#Jakob
#Plangger
#12418810
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
isAcyclic,1,acyc_0020-03.txt,20,64,9290800,0,,0
isAcyclic,2,acyc_0020-15.txt,20,190,1090400,0,,0
isAcyclic,3,acyc_0030-03.txt,30,75,550800,0,,0
isAcyclic,4,acyc_0030-15.txt,30,435,1486200,0,,0
isAcyclic,5,acyc_0050-03.txt,50,153,989200,0,,0
isAcyclic,6,acyc_0050-15.txt,50,746,1944200,0,,0
isAcyclic,7,acyc_0070-03.txt,70,204,1262800,0,,0
isAcyclic,8,acyc_0070-15.txt,70,1060,1773200,0,,0
isAcyclic,9,acyc_0100-03.txt,100,299,2572400,0,,0
isAcyclic,10,acyc_0100-15.txt,100,1482,1683600,0,,0
isAcyclic,11,acyc_0150-03.txt,150,443,672700,0,,0
isAcyclic,12,acyc_0150-15.txt,150,2247,2575000,0,,0
isAcyclic,13,acyc_0200-03.txt,200,588,1208800,0,,0
isAcyclic,14,acyc_0200-15.txt,200,2967,2830800,0,,0
isAcyclic,15,acyc_0300-03.txt,300,903,1359400,0,,0
isAcyclic,16,acyc_0300-15.txt,300,4478,5134400,0,,0
isAcyclic,17,acyc_0500-03.txt,500,1406,2175100,0,,0
isAcyclic,18,acyc_0500-15.txt,500,7414,4885200,0,,0
isAcyclic,19,acyc_0700-03.txt,700,2219,3948700,0,,0
isAcyclic,20,acyc_0700-15.txt,700,10611,8150500,0,,0
isAcyclic,21,acyc_1000-03.txt,1000,2966,4225400,0,,0
isAcyclic,22,acyc_1000-15.txt,1000,14932,10348500,0,,0
isAcyclic,23,acyc_1500-03.txt,1500,4600,5615800,0,,0
isAcyclic,24,acyc_1500-15.txt,1500,22527,15496800,0,,0
isAcyclic,25,acyc_2000-03.txt,2000,5970,6274700,0,,0
isAcyclic,26,acyc_2000-15.txt,2000,29880,43291400,0,,0
isAcyclic,27,acyc_3000-03.txt,3000,9035,15918300,0,,0
isAcyclic,28,acyc_3000-15.txt,3000,44862,85462800,0,,0
isAcyclic,29,acyc_5000-03.txt,5000,14940,63248000,0,,0
isAcyclic,30,acyc_5000-15.txt,5000,75163,63710800,0,,0
isAcyclic,31,cyc_0020-02.txt,20,46,66300,0,,0
isAcyclic,32,cyc_0020-03.txt,20,59,50800,0,,0
isAcyclic,33,cyc_0020-15.txt,20,275,94100,0,,0
isAcyclic,34,cyc_0030-03.txt,30,96,58500,0,,0
isAcyclic,35,cyc_0030-15.txt,30,430,102200,0,,0
isAcyclic,36,cyc_0050-03.txt,50,150,69700,0,,0
isAcyclic,37,cyc_0050-15.txt,50,761,219300,0,,0
isAcyclic,38,cyc_0070-03.txt,70,244,86800,0,,0
isAcyclic,39,cyc_0070-15.txt,70,1062,165400,0,,0
isAcyclic,40,cyc_0100-03.txt,100,315,139800,0,,0
isAcyclic,41,cyc_0100-15.txt,100,1475,474500,0,,0
isAcyclic,42,cyc_0150-03.txt,150,458,177300,0,,0
isAcyclic,43,cyc_0150-15.txt,150,2189,431600,0,,0
isAcyclic,44,cyc_0200-03.txt,200,574,317500,0,,0
isAcyclic,45,cyc_0200-15.txt,200,3015,1227700,0,,0
isAcyclic,46,cyc_0300-03.txt,300,922,483000,0,,0
isAcyclic,47,cyc_0300-15.txt,300,4407,1516600,0,,0
isAcyclic,48,cyc_0500-03.txt,500,1501,809800,0,,0
isAcyclic,49,cyc_0500-15.txt,500,7563,2372500,0,,0
isAcyclic,50,cyc_0700-03.txt,700,2086,920600,0,,0
isAcyclic,51,cyc_0700-15.txt,700,10457,3980000,0,,0
isAcyclic,52,cyc_1000-03.txt,1000,3001,1383200,0,,0
isAcyclic,53,cyc_1000-15.txt,1000,15008,3844900,0,,0
isAcyclic,54,cyc_1500-03.txt,1500,4476,2190700,0,,0
isAcyclic,55,cyc_1500-15.txt,1500,22304,10120500,0,,0
isAcyclic,56,cyc_2000-03.txt,2000,6061,4240000,0,,0
isAcyclic,57,cyc_2000-15.txt,2000,30069,10819000,0,,0
isAcyclic,58,cyc_3000-03.txt,3000,9058,4571800,0,,0
isAcyclic,59,cyc_3000-15.txt,3000,44828,8978200,0,,0
isAcyclic,60,cyc_5000-03.txt,5000,14887,6502600,0,,0
isAcyclic,61,cyc_5000-15.txt,5000,74919,25121700,0,,0
h1,62,cyc_0020-02.txt,20,46,80600,0,,0
h1,63,cyc_0020-02.txt,20,46,11100,0,,0
h1,64,cyc_0020-02.txt,20,46,6900,0,,0
h1,65,cyc_0020-02.txt,20,46,9700,0,,0
h1,66,cyc_0020-02.txt,20,46,7100,0,,0
h1,67,cyc_0020-02.txt,20,46,7900,0,,0
h1,68,cyc_0020-02.txt,20,46,7800,0,,0
h1,69,cyc_0020-02.txt,20,46,6100,0,,0
h1,70,cyc_0020-02.txt,20,46,7300,0,,0
h1,71,cyc_0020-02.txt,20,46,8400,0,,0
h1,72,cyc_0020-02.txt,20,46,8100,0,,0
h1,73,cyc_0020-02.txt,20,46,9700,0,,0
h1,74,cyc_0020-02.txt,20,46,11800,0,,0
h1,75,cyc_0020-02.txt,20,46,6800,0,,0
h1,76,cyc_0020-02.txt,20,46,11500,0,,0
h1,77,cyc_0020-02.txt,20,46,6400,0,,0
h1,78,cyc_0020-02.txt,20,46,6400,0,,0
h1,79,cyc_0020-02.txt,20,46,6600,0,,0
h1,80,cyc_0020-02.txt,20,46,6100,0,,0
h1,81,cyc_0020-02.txt,20,46,6800,0,,0
h1,82,cyc_0020-03.txt,20,59,11200,0,,0
h1,83,cyc_0020-03.txt,20,59,6400,0,,0
h1,84,cyc_0020-03.txt,20,59,8000,0,,0
h1,85,cyc_0020-03.txt,20,59,8300,0,,0
h1,86,cyc_0020-03.txt,20,59,6700,0,,0
h1,87,cyc_0020-03.txt,20,59,6500,0,,0
h1,88,cyc_0020-03.txt,20,59,6400,0,,0
h1,89,cyc_0020-03.txt,20,59,10800,0,,0
h1,90,cyc_0020-03.txt,20,59,17900,0,,0
h1,91,cyc_0020-03.txt,20,59,10100,0,,0
h1,92,cyc_0020-03.txt,20,59,9200,0,,0
h1,93,cyc_0020-03.txt,20,59,11800,0,,0
h1,94,cyc_0020-03.txt,20,59,9400,0,,0
h1,95,cyc_0020-03.txt,20,59,9500,0,,0
h1,96,cyc_0020-03.txt,20,59,8600,0,,0
h1,97,cyc_0020-03.txt,20,59,10500,0,,0
h1,98,cyc_0020-03.txt,20,59,10300,0,,0
h1,99,cyc_0020-03.txt,20,59,8900,0,,0
h1,100,cyc_0020-03.txt,20,59,8900,0,,0
h1,101,cyc_0020-03.txt,20,59,9900,0,,0
h1,102,cyc_0020-15.txt,20,275,9300,0,,0
h1,103,cyc_0020-15.txt,20,275,7800,0,,0
h1,104,cyc_0020-15.txt,20,275,8600,0,,0
h1,105,cyc_0020-15.txt,20,275,9200,0,,0
h1,106,cyc_0020-15.txt,20,275,7900,0,,0
h1,107,cyc_0020-15.txt,20,275,8500,0,,0
h1,108,cyc_0020-15.txt,20,275,5600,0,,0
h1,109,cyc_0020-15.txt,20,275,5000,0,,0
h1,110,cyc_0020-15.txt,20,275,4800,0,,0
h1,111,cyc_0020-15.txt,20,275,7100,0,,0
h1,112,cyc_0020-15.txt,20,275,5000,0,,0
h1,113,cyc_0020-15.txt,20,275,4800,0,,0
h1,114,cyc_0020-15.txt,20,275,6600,0,,0
h1,115,cyc_0020-15.txt,20,275,6900,0,,0
h1,116,cyc_0020-15.txt,20,275,6500,0,,0
h1,117,cyc_0020-15.txt,20,275,6100,0,,0
h1,118,cyc_0020-15.txt,20,275,6700,0,,0
h1,119,cyc_0020-15.txt,20,275,6800,0,,0
h1,120,cyc_0020-15.txt,20,275,5200,0,,0
h1,121,cyc_0020-15.txt,20,275,6000,0,,0
h1,122,cyc_0030-03.txt,30,96,5000,0,,0
h1,123,cyc_0030-03.txt,30,96,5600,0,,0
h1,124,cyc_0030-03.txt,30,96,5800,0,,0
h1,125,cyc_0030-03.txt,30,96,7600,0,,0
h1,126,cyc_0030-03.txt,30,96,6800,0,,0
h1,127,cyc_0030-03.txt,30,96,5100,0,,0
h1,128,cyc_0030-03.txt,30,96,7200,0,,0
h1,129,cyc_0030-03.txt,30,96,8400,0,,0
h1,130,cyc_0030-03.txt,30,96,6800,0,,0
h1,131,cyc_0030-03.txt,30,96,9800,0,,0
h1,132,cyc_0030-03.txt,30,96,7000,0,,0
h1,133,cyc_0030-03.txt,30,96,6600,0,,0
h1,134,cyc_0030-03.txt,30,96,7800,0,,0
h1,135,cyc_0030-03.txt,30,96,7600,0,,0
h1,136,cyc_0030-03.txt,30,96,7000,0,,0
h1,137,cyc_0030-03.txt,30,96,7700,0,,0
h1,138,cyc_0030-03.txt,30,96,7400,0,,0
h1,139,cyc_0030-03.txt,30,96,8500,0,,0
h1,140,cyc_0030-03.txt,30,96,9800,0,,0
h1,141,cyc_0030-03.txt,30,96,9400,0,,0
h1,142,cyc_0030-03.txt,30,96,10200,0,,0
h1,143,cyc_0030-03.txt,30,96,12200,0,,0
h1,144,cyc_0030-03.txt,30,96,11600,0,,0
h1,145,cyc_0030-03.txt,30,96,9500,0,,0
h1,146,cyc_0030-03.txt,30,96,6100,0,,0
h1,147,cyc_0030-03.txt,30,96,7600,0,,0
h1,148,cyc_0030-03.txt,30,96,6800,0,,0
h1,149,cyc_0030-03.txt,30,96,6400,0,,0
h1,150,cyc_0030-03.txt,30,96,4900,0,,0
h1,151,cyc_0030-03.txt,30,96,4900,0,,0
h1,152,cyc_0030-15.txt,30,430,8800,0,,0
h1,153,cyc_0030-15.txt,30,430,6500,0,,0
h1,154,cyc_0030-15.txt,30,430,5700,0,,0
h1,155,cyc_0030-15.txt,30,430,51100,0,,0
h1,156,cyc_0030-15.txt,30,430,5500,0,,0
h1,157,cyc_0030-15.txt,30,430,5200,0,,0
h1,158,cyc_0030-15.txt,30,430,4900,0,,0
h1,159,cyc_0030-15.txt,30,430,5100,0,,0
h1,160,cyc_0030-15.txt,30,430,5200,0,,0
h1,161,cyc_0030-15.txt,30,430,4900,0,,0
h1,162,cyc_0030-15.txt,30,430,4900,0,,0
h1,163,cyc_0030-15.txt,30,430,4900,0,,0
h1,164,cyc_0030-15.txt,30,430,4600,0,,0
h1,165,cyc_0030-15.txt,30,430,5200,0,,0
h1,166,cyc_0030-15.txt,30,430,6500,0,,0
h1,167,cyc_0030-15.txt,30,430,4900,0,,0
h1,168,cyc_0030-15.txt,30,430,10100,0,,0
h1,169,cyc_0030-15.txt,30,430,7800,0,,0
h1,170,cyc_0030-15.txt,30,430,7600,0,,0
h1,171,cyc_0030-15.txt,30,430,8700,0,,0
h1,172,cyc_0030-15.txt,30,430,7400,0,,0
h1,173,cyc_0030-15.txt,30,430,7700,0,,0
h1,174,cyc_0030-15.txt,30,430,7700,0,,0
h1,175,cyc_0030-15.txt,30,430,7500,0,,0
h1,176,cyc_0030-15.txt,30,430,8000,0,,0
h1,177,cyc_0030-15.txt,30,430,5300,0,,0
h1,178,cyc_0030-15.txt,30,430,8100,0,,0
h1,179,cyc_0030-15.txt,30,430,7700,0,,0
h1,180,cyc_0030-15.txt,30,430,8000,0,,0
h1,181,cyc_0030-15.txt,30,430,14600,0,,0
h1,182,cyc_0050-03.txt,50,150,7300,0,,0
h1,183,cyc_0050-03.txt,50,150,9000,0,,0
h1,184,cyc_0050-03.txt,50,150,6700,0,,0
h1,185,cyc_0050-03.txt,50,150,5300,0,,0
h1,186,cyc_0050-03.txt,50,150,5400,0,,0
h1,187,cyc_0050-03.txt,50,150,5000,0,,0
h1,188,cyc_0050-03.txt,50,150,5200,0,,0
h1,189,cyc_0050-03.txt,50,150,22400,0,,0
h1,190,cyc_0050-03.txt,50,150,5200,0,,0
h1,191,cyc_0050-03.txt,50,150,5700,0,,0
h1,192,cyc_0050-03.txt,50,150,5400,0,,0
h1,193,cyc_0050-03.txt,50,150,10900,0,,0
h1,194,cyc_0050-03.txt,50,150,7000,0,,0
h1,195,cyc_0050-03.txt,50,150,7500,0,,0
h1,196,cyc_0050-03.txt,50,150,7100,0,,0
h1,197,cyc_0050-03.txt,50,150,8600,0,,0
h1,198,cyc_0050-03.txt,50,150,5400,0,,0
h1,199,cyc_0050-03.txt,50,150,5300,0,,0
h1,200,cyc_0050-03.txt,50,150,8600,0,,0
h1,201,cyc_0050-03.txt,50,150,6800,0,,0
h1,202,cyc_0050-03.txt,50,150,8700,0,,0
h1,203,cyc_0050-03.txt,50,150,5700,0,,0
h1,204,cyc_0050-03.txt,50,150,5400,0,,0
h1,205,cyc_0050-03.txt,50,150,9600,0,,0
h1,206,cyc_0050-03.txt,50,150,10100,0,,0
h1,207,cyc_0050-03.txt,50,150,6300,0,,0
h1,208,cyc_0050-03.txt,50,150,11200,0,,0
h1,209,cyc_0050-03.txt,50,150,25500,0,,0
h1,210,cyc_0050-03.txt,50,150,9600,0,,0
h1,211,cyc_0050-03.txt,50,150,9100,0,,0
h1,212,cyc_0050-03.txt,50,150,8600,0,,0
h1,213,cyc_0050-03.txt,50,150,9400,0,,0
h1,214,cyc_0050-03.txt,50,150,7700,0,,0
h1,215,cyc_0050-03.txt,50,150,7300,0,,0
h1,216,cyc_0050-03.txt,50,150,6700,0,,0
h1,217,cyc_0050-03.txt,50,150,7500,0,,0
h1,218,cyc_0050-03.txt,50,150,7400,0,,0
h1,219,cyc_0050-03.txt,50,150,5800,0,,0
h1,220,cyc_0050-03.txt,50,150,6800,0,,0
h1,221,cyc_0050-03.txt,50,150,7200,0,,0
h1,222,cyc_0050-03.txt,50,150,8100,0,,0
h1,223,cyc_0050-03.txt,50,150,11800,0,,0
h1,224,cyc_0050-03.txt,50,150,8200,0,,0
h1,225,cyc_0050-03.txt,50,150,7100,0,,0
h1,226,cyc_0050-03.txt,50,150,6800,0,,0
h1,227,cyc_0050-03.txt,50,150,6100,0,,0
h1,228,cyc_0050-03.txt,50,150,6300,0,,0
h1,229,cyc_0050-03.txt,50,150,5800,0,,0
h1,230,cyc_0050-03.txt,50,150,5200,0,,0
h1,231,cyc_0050-03.txt,50,150,7500,0,,0
h1,232,cyc_0050-15.txt,50,761,8000,0,,0
h1,233,cyc_0050-15.txt,50,761,7200,0,,0
h1,234,cyc_0050-15.txt,50,761,9000,0,,0
h1,235,cyc_0050-15.txt,50,761,6600,0,,0
h1,236,cyc_0050-15.txt,50,761,8100,0,,0
h1,237,cyc_0050-15.txt,50,761,7800,0,,0
h1,238,cyc_0050-15.txt,50,761,11900,0,,0
h1,239,cyc_0050-15.txt,50,761,9300,0,,0
h1,240,cyc_0050-15.txt,50,761,5900,0,,0
h1,241,cyc_0050-15.txt,50,761,5400,0,,0
h1,242,cyc_0050-15.txt,50,761,5600,0,,0
h1,243,cyc_0050-15.txt,50,761,5400,0,,0
h1,244,cyc_0050-15.txt,50,761,5000,0,,0
h1,245,cyc_0050-15.txt,50,761,8800,0,,0
h1,246,cyc_0050-15.txt,50,761,5100,0,,0
h1,247,cyc_0050-15.txt,50,761,5200,0,,0
h1,248,cyc_0050-15.txt,50,761,5600,0,,0
h1,249,cyc_0050-15.txt,50,761,4800,0,,0
h1,250,cyc_0050-15.txt,50,761,6300,0,,0
h1,251,cyc_0050-15.txt,50,761,5300,0,,0
h1,252,cyc_0050-15.txt,50,761,6000,0,,0
h1,253,cyc_0050-15.txt,50,761,4800,0,,0
h1,254,cyc_0050-15.txt,50,761,5400,0,,0
h1,255,cyc_0050-15.txt,50,761,5300,0,,0
h1,256,cyc_0050-15.txt,50,761,8900,0,,0
h1,257,cyc_0050-15.txt,50,761,5100,0,,0
h1,258,cyc_0050-15.txt,50,761,5000,0,,0
h1,259,cyc_0050-15.txt,50,761,4900,0,,0
h1,260,cyc_0050-15.txt,50,761,4800,0,,0
h1,261,cyc_0050-15.txt,50,761,5200,0,,0
h1,262,cyc_0050-15.txt,50,761,4900,0,,0
h1,263,cyc_0050-15.txt,50,761,5000,0,,0
h1,264,cyc_0050-15.txt,50,761,5700,0,,0
h1,265,cyc_0050-15.txt,50,761,4900,0,,0
h1,266,cyc_0050-15.txt,50,761,5200,0,,0
h1,267,cyc_0050-15.txt,50,761,5200,0,,0
h1,268,cyc_0050-15.txt,50,761,5000,0,,0
h1,269,cyc_0050-15.txt,50,761,5000,0,,0
h1,270,cyc_0050-15.txt,50,761,5100,0,,0
h1,271,cyc_0050-15.txt,50,761,4700,0,,0
h1,272,cyc_0050-15.txt,50,761,5200,0,,0
h1,273,cyc_0050-15.txt,50,761,4900,0,,0
h1,274,cyc_0050-15.txt,50,761,5100,0,,0
h1,275,cyc_0050-15.txt,50,761,4900,0,,0
h1,276,cyc_0050-15.txt,50,761,4900,0,,0
h1,277,cyc_0050-15.txt,50,761,8500,0,,0
h1,278,cyc_0050-15.txt,50,761,14500,0,,0
h1,279,cyc_0050-15.txt,50,761,14400,0,,0
h1,280,cyc_0050-15.txt,50,761,7300,0,,0
h1,281,cyc_0050-15.txt,50,761,5200,0,,0
h1,282,cyc_0070-03.txt,70,244,5600,0,,0
h1,283,cyc_0070-03.txt,70,244,5200,0,,0
h1,284,cyc_0070-03.txt,70,244,5000,0,,0
h1,285,cyc_0070-03.txt,70,244,4900,0,,0
h1,286,cyc_0070-03.txt,70,244,5400,0,,0
h1,287,cyc_0070-03.txt,70,244,4600,0,,0
h1,288,cyc_0070-03.txt,70,244,5000,0,,0
h1,289,cyc_0070-03.txt,70,244,4800,0,,0
h1,290,cyc_0070-03.txt,70,244,5200,0,,0
h1,291,cyc_0070-03.txt,70,244,4900,0,,0
h1,292,cyc_0070-03.txt,70,244,5300,0,,0
h1,293,cyc_0070-03.txt,70,244,4900,0,,0
h1,294,cyc_0070-03.txt,70,244,4500,0,,0
h1,295,cyc_0070-03.txt,70,244,4600,0,,0
h1,296,cyc_0070-03.txt,70,244,5000,0,,0
h1,297,cyc_0070-03.txt,70,244,4800,0,,0
h1,298,cyc_0070-03.txt,70,244,4900,0,,0
h1,299,cyc_0070-03.txt,70,244,4500,0,,0
h1,300,cyc_0070-03.txt,70,244,4800,0,,0
h1,301,cyc_0070-03.txt,70,244,4800,0,,0
h1,302,cyc_0070-03.txt,70,244,5300,0,,0
h1,303,cyc_0070-03.txt,70,244,4900,0,,0
h1,304,cyc_0070-03.txt,70,244,5200,0,,0
h1,305,cyc_0070-03.txt,70,244,4900,0,,0
h1,306,cyc_0070-03.txt,70,244,4600,0,,0
h1,307,cyc_0070-03.txt,70,244,5100,0,,0
h1,308,cyc_0070-03.txt,70,244,4700,0,,0
h1,309,cyc_0070-03.txt,70,244,4600,0,,0
h1,310,cyc_0070-03.txt,70,244,4600,0,,0
h1,311,cyc_0070-03.txt,70,244,5100,0,,0
h1,312,cyc_0070-03.txt,70,244,4800,0,,0
h1,313,cyc_0070-03.txt,70,244,4900,0,,0
h1,314,cyc_0070-03.txt,70,244,5000,0,,0
h1,315,cyc_0070-03.txt,70,244,5100,0,,0
h1,316,cyc_0070-03.txt,70,244,5000,0,,0
h1,317,cyc_0070-03.txt,70,244,11400,0,,0
h1,318,cyc_0070-03.txt,70,244,5100,0,,0
h1,319,cyc_0070-03.txt,70,244,5000,0,,0
h1,320,cyc_0070-03.txt,70,244,5200,0,,0
h1,321,cyc_0070-03.txt,70,244,4900,0,,0
h1,322,cyc_0070-03.txt,70,244,4900,0,,0
h1,323,cyc_0070-03.txt,70,244,5000,0,,0
h1,324,cyc_0070-03.txt,70,244,5200,0,,0
h1,325,cyc_0070-03.txt,70,244,5900,0,,0
h1,326,cyc_0070-03.txt,70,244,5300,0,,0
h1,327,cyc_0070-03.txt,70,244,6000,0,,0
h1,328,cyc_0070-03.txt,70,244,5700,0,,0
h1,329,cyc_0070-03.txt,70,244,4800,0,,0
h1,330,cyc_0070-03.txt,70,244,4800,0,,0
h1,331,cyc_0070-03.txt,70,244,5000,0,,0
h1,332,cyc_0070-03.txt,70,244,6900,0,,0
h1,333,cyc_0070-03.txt,70,244,4800,0,,0
h1,334,cyc_0070-03.txt,70,244,5000,0,,0
h1,335,cyc_0070-03.txt,70,244,5000,0,,0
h1,336,cyc_0070-03.txt,70,244,5500,0,,0
h1,337,cyc_0070-03.txt,70,244,5200,0,,0
h1,338,cyc_0070-03.txt,70,244,5600,0,,0
h1,339,cyc_0070-03.txt,70,244,4800,0,,0
h1,340,cyc_0070-03.txt,70,244,5500,0,,0
h1,341,cyc_0070-03.txt,70,244,4600,0,,0
h1,342,cyc_0070-03.txt,70,244,5000,0,,0
h1,343,cyc_0070-03.txt,70,244,4800,0,,0
h1,344,cyc_0070-03.txt,70,244,5300,0,,0
h1,345,cyc_0070-03.txt,70,244,5100,0,,0
h1,346,cyc_0070-03.txt,70,244,4700,0,,0
h1,347,cyc_0070-03.txt,70,244,4800,0,,0
h1,348,cyc_0070-03.txt,70,244,4700,0,,0
h1,349,cyc_0070-03.txt,70,244,5400,0,,0
h1,350,cyc_0070-03.txt,70,244,5100,0,,0
