#abgabe.csv
#Jakob Joel
#Plangger
#12418810
group,number,n,m,duration,reduction_time,has_exact_cover
hasExactCover,1,100,3,108333600,15315400,false
hasExactCover,2,100,6,1526401,1060901,false
hasExactCover,3,100,9,1170900,743200,false
hasExactCover,4,100,12,1594499,1215798,false
hasExactCover,5,100,15,12710700,1458000,false
hasExactCover,6,100,18,3112700,2575000,false
hasExactCover,7,100,21,3083300,2493301,false
hasExactCover,8,100,24,4900200,4532400,false
hasExactCover,9,100,27,2549201,1992801,false
hasExactCover,10,100,30,2375099,1668799,false
hasExactCover,11,100,33,2591199,1897999,false
hasExactCover,12,100,36,2018700,1676100,false
hasExactCover,13,100,39,3477000,2445600,false
hasExactCover,14,100,42,8468400,3558099,false
hasExactCover,15,100,45,4393300,3354200,false
hasExactCover,16,100,48,5495000,4854200,false
hasExactCover,17,100,51,3913499,3280400,false
hasExactCover,18,100,54,4155000,2842600,false
hasExactCover,19,100,57,5138999,3699599,false
hasExactCover,20,100,60,3981600,3438800,false
hasExactCover,21,100,63,3980299,3597500,false
hasExactCover,22,100,66,6733600,5852999,false
hasExactCover,23,100,69,8117300,6371800,false
hasExactCover,24,100,72,8846301,6255501,false
hasExactCover,25,100,75,7421999,5810699,false
hasExactCover,26,100,78,6910899,5635899,false
hasExactCover,27,100,81,8071600,6208200,false
hasExactCover,28,100,84,7282099,6123999,false
hasExactCover,29,100,87,9655599,7449600,false
hasExactCover,30,100,90,9814400,8294300,false
hasExactCover,31,100,93,8432500,7678300,false
hasExactCover,32,100,96,8730100,8257800,false
hasExactCover,33,100,99,8987299,7870699,false
hasExactCover,34,100,102,10313801,9598602,false
hasExactCover,35,100,105,13985701,10391602,false
hasExactCover,36,100,108,20740301,12800902,false
hasExactCover,37,100,111,18151501,13844001,false
hasExactCover,38,100,114,16490400,12073400,false
hasExactCover,39,100,117,16462701,11420101,false
hasExactCover,40,100,120,21223800,16541201,false
hasExactCover,41,100,123,16277000,14146599,false
hasExactCover,42,100,126,20681101,15598302,false
hasExactCover,43,100,129,22500200,18097400,false
hasExactCover,44,100,132,20159200,14729400,false
hasExactCover,45,100,135,17678000,14747499,false
hasExactCover,46,100,138,36792300,17890100,false
hasExactCover,47,100,141,21666700,14922100,false
hasExactCover,48,100,144,19621399,13433099,false
hasExactCover,49,100,147,18834099,13586498,false
hasExactCover,50,100,150,23195000,18240600,false
hasExactCover,51,100,153,21118100,14972500,false
hasExactCover,52,100,156,25064500,19800400,false
hasExactCover,53,100,159,27334200,19770900,false
hasExactCover,54,100,162,37602800,22846199,false
hasExactCover,55,100,165,24286900,18161299,false
hasExactCover,56,100,168,30882501,23857801,false
hasExactCover,57,100,171,29962099,18983899,false
hasExactCover,58,100,174,25277300,19221100,false
hasExactCover,59,100,177,47534001,26187700,false
hasExactCover,60,100,180,28664799,20064899,false
hasExactCover,61,100,183,27076100,20820300,false
hasExactCover,62,100,186,31027500,22886799,false
hasExactCover,63,100,189,36831000,24823500,false
hasExactCover,64,100,192,34498000,24018500,false
hasExactCover,65,100,195,32605799,26334000,false
hasExactCover,66,100,198,33501900,27111500,false
hasExactCover,67,100,201,31625899,24793299,false
hasExactCover,68,100,204,42668600,32022001,false
hasExactCover,69,100,207,35034101,27293201,false
hasExactCover,70,100,210,45364999,28917700,false
hasExactCover,71,100,213,33455400,25587400,false
hasExactCover,72,100,216,22232999,17692099,false
hasExactCover,73,100,219,26975499,18094999,false
hasExactCover,74,100,222,23376200,18766100,false
hasExactCover,75,100,225,96104800,19238801,false
hasExactCover,76,100,228,32638800,23739700,false
hasExactCover,77,100,231,36265301,20515600,false
hasExactCover,78,100,234,89969100,21105000,false
hasExactCover,79,100,237,36017100,22019500,false
hasExactCover,80,100,240,41104300,26754900,false
hasExactCover,81,100,243,56064400,21932900,false
hasExactCover,82,100,246,34056199,23669399,false
hasExactCover,83,100,249,101178900,22861000,false
hasExactCover,84,100,252,57419400,23621000,false
hasExactCover,85,100,255,90750500,25578800,false
hasExactCover,86,100,258,57519201,25325701,false
hasExactCover,87,100,261,65303700,25910901,false
hasExactCover,88,100,264,81945501,26195302,false
hasExactCover,89,100,267,112195600,26479800,false
hasExactCover,90,100,270,64821601,27383802,false
hasExactCover,91,100,273,134137901,29270901,false
hasExactCover,92,100,276,87220099,28375899,false
hasExactCover,93,100,279,71868000,21467100,false
hasExactCover,94,100,282,177048500,23766799,false
hasExactCover,95,100,285,269296601,22044302,false
hasExactCover,96,100,288,120439799,22358399,false
hasExactCover,97,100,291,86362899,23297999,false
hasExactCover,98,100,294,116391300,23575100,false
hasExactCover,99,100,297,243629501,24136802,false
hasExactCover,100,100,300,120523000,24582000,false
hasExactCover,101,100,303,262438801,25589000,false
hasExactCover,102,100,306,158665100,24939900,false
hasExactCover,103,100,309,624646499,26623800,false
hasExactCover,104,100,312,176406900,27855199,false
hasExactCover,105,100,315,690593801,26852701,false
hasExactCover,106,100,318,696835799,26832899,false
hasExactCover,107,100,321,1806707600,27570400,false
hasExactCover,108,100,324,1086913200,28523700,false
hasExactCover,109,100,327,9223131900,29161299,false
hasExactCover,110,100,330,746324900,28860500,false
hasExactCover,111,100,333,1413528001,32048301,false
hasExactCover,112,100,336,322402001,31649802,true
hasExactCover,113,100,339,708656400,44255201,false
hasExactCover,114,100,342,1205792099,43409799,false
hasExactCover,115,100,345,302329200,43851299,false
hasExactCover,116,100,348,6273126601,45306601,true
hasExactCover,117,100,351,1407652900,79697300,true
hasExactCover,118,100,354,11728965100,56504000,false
hasExactCover,119,100,357,1296383499,28244899,false
hasExactCover,120,100,360,3810347700,22151200,false
hasExactCover,121,100,363,2193026900,25518800,false
hasExactCover,122,100,366,4741857900,23771701,true
hasExactCover,123,100,369,2364816301,27371602,false
hasExactCover,124,100,372,3207511900,24163201,true
hasExactCover,125,100,375,301930999,37005599,true
hasExactCover,126,100,378,10226483499,34552298,false
hasExactCover,127,100,381,8204516000,26155200,false
hasExactCover,128,100,384,862175600,25163499,true
hasExactCover,129,100,387,4739210800,26409699,true
hasExactCover,130,100,390,6491555399,27962799,false
hasExactCover,131,100,393,6528139101,27036601,true
hasExactCover,132,100,396,2255575701,36355400,true
hasExactCover,133,100,399,2326611500,35026199,true
hasExactCover,134,100,402,17672179400,29553301,true
hasExactCover,135,100,405,2433323300,34005901,true
hasExactCover,136,100,408,330370400,28405101,true
hasExactCover,137,100,411,103123599,40401099,true
hasExactCover,138,100,414,1288176500,32755600,true
hasExactCover,139,100,417,1661033400,28731201,true
hasExactCover,140,100,420,2598204999,38587799,true
hasExactCover,141,100,423,37344810600,34981300,true
hasExactCover,142,100,426,3094376401,39443102,true
hasExactCover,143,100,429,230280200,35421900,true
hasExactCover,144,100,432,1903362601,39907801,true
hasExactCover,145,100,435,1897952100,36383899,true
hasExactCover,146,100,438,2221872401,42714500,true
hasExactCover,147,100,441,435066999,34267900,true
hasExactCover,148,100,444,1501472701,38927501,true
hasExactCover,149,100,447,379937499,38335900,true
hasExactCover,150,100,450,394623301,35033201,true
hasExactCover,151,100,453,1304015600,34749000,true
hasExactCover,152,100,456,106216700,35524100,true
hasExactCover,153,100,459,861255001,51692201,true
hasExactCover,154,100,462,371111201,49031201,true
hasExactCover,155,100,465,2509957001,41492501,true
hasExactCover,156,100,468,622013601,39930301,true
hasExactCover,157,100,471,7763840999,49689699,true
hasExactCover,158,100,474,3034264400,40000799,true
hasExactCover,159,100,477,437911800,38183299,true
hasExactCover,160,100,480,148029200,50079600,true
hasExactCover,161,100,483,743676200,40873700,true
hasExactCover,162,100,486,1878270201,41542201,true
hasExactCover,163,100,489,112872000,44556700,true
hasExactCover,164,100,492,313814300,45651801,true
hasExactCover,165,100,495,130870800,46778301,true
hasExactCover,166,100,498,272543801,48596701,true
hasExactCover,167,100,501,556618799,53719200,true
hasExactCover,168,100,504,136631800,50741200,true
hasExactCover,169,100,507,244410801,72394101,true
hasExactCover,170,100,510,405539100,63508699,true
hasExactCover,171,100,513,191774000,55592399,true
hasExactCover,172,100,516,330792499,40917899,true
hasExactCover,173,100,519,300931600,49661001,true
hasExactCover,174,100,522,149665101,46683801,true
hasExactCover,175,100,525,199119200,47811901,true
hasExactCover,176,100,528,164097800,46220999,true
hasExactCover,177,100,531,556790500,45899701,true
hasExactCover,178,100,534,127552700,54809100,true
hasExactCover,179,100,537,226924501,53359000,true
hasExactCover,180,100,540,300690100,64350701,true
hasExactCover,181,100,543,127653401,48347802,true
hasExactCover,182,100,546,127933000,49629800,true
hasExactCover,183,100,549,96657900,58367300,true
hasExactCover,184,100,552,166762000,49884299,true
hasExactCover,185,100,555,119530699,58068599,true
hasExactCover,186,100,558,148914300,52098900,true
hasExactCover,187,100,561,111358099,51957398,true
hasExactCover,188,100,564,293475399,60857300,true
hasExactCover,189,100,567,266110700,58188701,true
hasExactCover,190,100,570,1116802400,61060900,true
hasExactCover,191,100,573,358965100,62670400,true
hasExactCover,192,100,576,272479000,70000000,true
hasExactCover,193,100,579,135797700,57768699,true
hasExactCover,194,100,582,180166100,57182300,true
hasExactCover,195,100,585,142191400,61888201,true
hasExactCover,196,100,588,170931701,64158802,true
hasExactCover,197,100,591,187233701,73989401,true
hasExactCover,198,100,594,129656799,63670799,true
hasExactCover,199,100,597,123190001,64848900,true
hasExactCover,200,6,5,800000,147500,true
hasExactCover,201,6,3,504500,67700,false
hasExactCover,202,6,5,350401,59901,false
